Score,Episodes,Duration_format,Genre_format,Name_format,Source_format,cluster
6,3,45,1,396,0,0
6,1,79,5,397,2,0
7,51,24,0,398,0,0
7,23,24,3,399,1,0
7,2,26,0,400,1,0
7,296,25,0,401,1,0
7,13,25,0,402,0,0
6,13,24,0,403,2,0
6,13,25,0,404,26,0
8,1,125,2,405,0,0
7,3,36,3,406,0,0
6,1,80,1,407,1,0
8,358,23,0,408,1,0
8,2,25,0,409,1,0
7,26,23,0,410,1,0
7,52,24,0,411,1,0
8,1,109,4,412,1,0
8,1,86,0,413,0,0
7,1,25,0,414,0,0
7,26,23,2,415,0,0
7,6,30,4,416,1,0
7,276,24,0,417,26,0
8,1,85,0,418,26,0
7,13,24,4,419,1,0
8,46,24,11,420,1,0
8,38,24,3,421,1,0
8,26,22,0,422,2,0
8,26,24,0,423,2,0
7,1,66,0,424,2,0
5,2,28,1,425,26,0
7,26,23,0,426,0,0
8,6,29,0,427,0,0
8,6,33,0,428,0,0
7,6,30,0,429,0,0
8,1,102,1,430,2,0
7,1,103,1,431,1,0
6,13,12,3,432,2,0
7,27,24,0,433,1,0
8,54,24,0,434,1,0
7,13,23,0,435,1,0
7,24,15,0,436,0,0
6,12,15,0,437,0,0
6,3,15,4,438,0,0
7,4,15,0,439,0,0
8,26,25,0,440,1,0
6,1,15,4,441,0,0
7,1,51,1,442,0,0
7,25,24,4,443,26,0
6,3,31,4,444,26,0
7,12,23,0,445,1,0
7,2,30,0,446,0,0
7,1,126,1,447,0,0
7,4,33,0,448,1,0
8,26,24,1,449,0,0
7,26,24,4,450,0,0
8,26,23,0,451,2,0
6,6,29,1,452,0,0
7,25,25,0,453,0,0
6,6,24,2,454,2,0
6,13,24,0,455,1,0
6,13,24,2,456,1,0
7,10,4,0,457,1,0
6,2,33,0,458,0,0
8,48,8,0,459,1,0
8,24,25,4,460,0,0
8,1,111,3,461,1,0
7,11,23,2,462,1,0
8,6,24,0,463,2,0
6,2,28,0,464,1,0
8,21,23,1,465,1,0
7,12,24,0,466,2,0
7,26,23,2,467,26,0
7,26,23,4,468,0,0
7,1,22,2,469,1,0
7,1,6,0,470,1,0
7,13,23,1,471,1,0
7,1,32,0,472,1,0
7,7,29,0,473,0,0
7,49,24,0,474,0,0
7,26,24,0,475,0,0
7,26,23,0,476,0,0
7,13,24,0,477,0,0
6,1,85,4,478,2,0
7,2,30,4,479,1,0
6,12,24,0,480,2,0
7,13,25,0,481,2,0
6,13,24,11,482,0,0
7,5,24,0,483,0,0
7,35,24,2,484,1,0
8,1,94,2,485,0,0
7,13,24,5,486,0,0
7,13,24,2,487,1,0
7,12,25,0,488,2,0
7,25,24,0,489,1,0
6,12,14,0,490,1,0
8,26,25,0,491,1,0
7,6,28,0,492,0,0
7,13,24,0,493,1,0
7,13,24,3,494,1,0
7,13,25,0,495,0,0
7,13,25,0,496,0,0
7,16,8,0,497,1,0
8,1,77,6,498,1,0
7,12,23,0,499,1,0
7,3,29,0,500,1,0
7,9,24,0,501,0,0
7,26,24,0,502,0,0
7,13,24,0,503,26,0
7,2,24,0,504,2,0
8,26,23,9,505,1,0
7,1,6,0,506,1,0
7,7,30,2,507,1,0
7,6,35,2,508,1,0
7,12,24,0,509,1,0
6,13,25,0,510,1,0
6,3,25,0,511,1,0
7,12,24,3,512,2,0
7,26,25,2,513,1,0
7,3,30,2,514,1,0
5,1,24,0,515,2,0
7,12,22,0,516,0,0
6,13,24,4,517,2,0
7,52,24,0,518,1,0
7,12,23,3,519,0,0
7,1,24,3,520,0,0
7,26,25,1,521,1,0
7,124,25,0,522,1,0
6,12,24,0,523,0,0
7,24,24,0,524,2,0
7,26,23,0,525,0,0
5,1,10,0,526,1,0
7,13,24,0,527,2,0
6,4,7,0,528,2,0
8,26,24,4,529,2,0
7,9,13,0,530,1,0
7,1,91,3,531,2,0
6,3,30,0,532,1,0
6,16,7,0,533,1,0
7,2,54,4,534,2,0
8,38,16,0,535,0,0
8,1,67,4,536,15,0
7,1,80,1,537,2,0
6,1,30,3,538,1,0
7,102,24,0,539,1,0
8,43,24,11,540,1,0
7,1,30,0,541,1,0
7,20,25,0,542,3,0
6,2,30,0,543,2,0
7,2,30,3,544,1,0
7,12,12,0,545,1,0
5,1,27,3,546,1,0
7,36,25,2,547,4,0
7,1,2,1,548,0,0
8,1,92,0,549,0,0
5,3,14,0,550,0,0
6,1,24,0,551,2,0
6,1,46,0,552,0,0
6,4,27,0,553,0,0
7,1,23,4,554,0,0
7,13,24,2,555,2,0
6,4,30,0,556,0,0
7,12,25,0,557,1,0
8,10,50,1,558,1,0
8,1,94,0,559,1,0
7,25,25,3,560,0,0
6,13,23,0,561,1,0
7,2,48,0,562,1,0
6,13,3,0,563,1,0
4,2,30,0,564,1,0
7,6,25,2,565,2,0
8,23,25,4,566,0,0
6,1,2,1,567,1,0
8,1,1,0,568,1,0
8,39,25,3,569,1,0
7,3,14,0,570,1,0
7,12,23,3,571,0,0
6,13,24,0,572,1,0
7,13,23,0,573,0,0
9,26,25,1,574,1,0
7,1,35,1,575,1,0
7,3,28,0,576,1,0
6,24,14,0,577,1,0
7,13,26,4,578,0,0
8,291,24,0,579,1,0
7,1,30,0,580,1,0
7,1,65,1,581,1,0
6,6,26,0,582,0,0
6,13,25,0,583,1,0
6,12,24,0,584,1,0
6,1,49,11,585,1,0
9,110,26,4,586,2,0
8,1,52,1,587,1,0
7,2,27,1,588,1,0
6,2,29,10,589,0,0
7,2,30,10,590,2,0
7,24,24,0,591,0,0
6,24,25,4,592,0,0
6,13,23,0,593,0,0
7,1,33,0,594,1,0
6,26,23,0,595,2,0
6,13,24,3,596,1,0
7,12,24,0,597,1,0
6,16,6,0,598,1,0
7,10,30,0,599,1,0
7,51,24,2,600,0,0
8,26,24,0,601,1,0
6,1,23,4,602,1,0
8,14,23,0,603,2,0
7,13,26,0,604,2,0
8,26,23,0,605,1,0
6,12,25,0,606,2,0
7,26,25,3,607,1,0
8,26,23,1,608,2,0
8,25,24,0,609,1,0
7,48,23,0,610,0,0
7,12,24,0,611,26,0
8,24,24,0,612,1,0
7,12,24,0,613,1,0
7,48,24,4,614,0,0
7,1,33,0,615,2,0
7,1,1,0,616,2,0
7,1,59,0,617,2,0
7,1,1,0,618,2,0
7,2,27,0,619,1,0
7,40,9,0,620,0,0
7,26,24,2,621,0,0
8,51,25,0,622,0,0
8,1,104,0,623,1,0
7,29,24,1,624,26,0
8,47,23,0,625,1,0
7,26,23,1,626,0,0
7,26,24,2,627,0,0
8,22,24,0,628,1,0
7,1,94,0,629,1,0
7,1,85,1,630,1,0
8,1,71,2,631,0,0
6,12,24,1,632,1,0
8,12,24,1,633,1,0
8,49,25,4,634,0,0
8,1,55,0,635,1,0
7,12,24,0,636,1,0
7,3,7,0,637,1,0
6,13,23,4,638,0,0
6,13,24,0,639,0,0
7,55,24,5,640,1,0
8,26,24,0,641,1,0
7,26,24,3,642,1,0
7,13,24,0,643,1,0
7,1,46,1,644,1,0
9,201,24,0,645,1,0
7,13,24,4,646,1,0
6,1,27,0,647,0,0
7,2,24,0,648,0,0
6,51,24,4,649,1,0
7,52,24,4,650,1,0
7,49,24,1,651,2,0
7,39,25,4,652,0,0
6,1,11,0,653,1,0
8,26,24,7,654,2,0
7,24,24,1,655,1,0
7,1,97,0,656,1,0
7,1,66,1,657,1,0
7,4,27,1,658,1,0
7,26,23,0,659,2,0
7,12,24,0,660,0,0
7,13,24,0,661,2,0
6,12,24,2,662,1,0
8,6,30,0,663,0,0
8,142,24,0,664,1,0
6,12,22,0,665,1,0
7,11,22,1,666,1,0
7,44,24,4,667,0,0
8,39,25,0,668,2,0
7,25,24,1,669,0,0
7,26,24,3,670,2,0
7,26,20,3,671,2,0
7,35,25,0,672,26,0
8,26,24,2,673,1,0
6,8,13,0,674,0,0
8,50,21,0,675,1,0
8,109,25,1,676,1,0
8,26,25,1,677,1,0
7,47,23,1,678,1,0
7,50,24,1,679,1,0
7,2,30,7,680,2,0
7,24,24,4,681,0,0
7,2,29,4,682,1,0
7,2,32,4,683,1,0
8,13,25,1,684,1,0
7,1,90,1,685,26,0
6,3,29,0,686,0,0
6,1,5,0,687,0,0
6,12,26,0,688,1,0
6,1,51,12,689,1,0
7,13,25,0,690,2,0
7,13,25,0,691,0,0
8,13,23,0,692,1,0
8,34,24,0,693,1,0
7,26,23,0,694,1,0
6,3,28,0,695,1,0
8,42,25,1,696,1,0
7,1,23,3,697,0,0
8,6,30,0,698,0,0
7,26,22,2,699,26,0
7,1,94,0,700,1,0
8,6,30,0,701,1,0
8,2,30,0,702,1,0
7,1,31,0,703,1,0
6,2,8,0,704,1,0
7,24,25,7,705,0,0
7,2,24,0,706,0,0
8,1,30,0,707,1,0
7,2,30,4,708,1,0
7,24,25,0,709,2,0
7,23,24,0,710,2,0
7,13,24,1,711,2,0
7,3,30,1,712,2,0
7,44,24,3,713,1,0
8,4,23,4,714,0,0
7,2,30,1,715,1,0
7,13,25,0,716,0,0
6,2,29,5,717,1,0
7,1,105,2,718,2,0
7,1,118,3,719,1,0
