Score,Episodes,Rating,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
7,3,PG-13 - Teens 13 or older,30,1,0,51,29,208,2,1
9,75,PG-13 - Teens 13 or older,23,1,0,5,191,209,0,1
7,12,PG-13 - Teens 13 or older,23,1,4,52,1,210,0,26
8,26,R - 17+ (violence & profanity),25,0,1,53,191,211,0,26
8,6,R+ - Mild Nudity,29,2,0,24,23,212,2,1
8,366,PG-13 - Teens 13 or older,24,1,0,6,3,213,0,1
8,13,R - 17+ (violence & profanity),23,0,1,3,4,214,0,1
7,26,PG-13 - Teens 13 or older,25,1,4,29,4,215,0,0
7,26,PG-13 - Teens 13 or older,24,1,1,1,151,216,0,0
7,12,PG-13 - Teens 13 or older,24,1,3,27,1,217,0,1
7,24,R+ - Mild Nudity,23,2,1,54,4,218,0,0
6,9,R+ - Mild Nudity,15,2,0,26,14,219,0,0
7,12,R+ - Mild Nudity,24,2,0,9,17,220,0,1
7,14,R+ - Mild Nudity,24,2,0,27,17,221,0,1
7,51,PG-13 - Teens 13 or older,20,1,0,2,50,222,0,26
7,13,R - 17+ (violence & profanity),24,0,2,43,105,223,0,2
7,51,G - All Ages,23,3,0,2,131,224,0,1
6,3,PG-13 - Teens 13 or older,27,1,0,12,30,225,2,2
7,50,PG-13 - Teens 13 or older,23,1,1,6,105,226,0,1
7,12,PG-13 - Teens 13 or older,25,1,1,22,50,227,0,1
7,25,PG-13 - Teens 13 or older,22,1,4,55,105,228,0,1
7,24,PG-13 - Teens 13 or older,25,1,1,56,50,229,0,1
7,51,PG - Children,23,1,0,52,191,230,0,1
7,13,PG-13 - Teens 13 or older,24,1,0,51,306,231,0,2
8,13,PG-13 - Teens 13 or older,26,1,1,0,216,232,0,2
7,26,PG-13 - Teens 13 or older,24,1,3,41,2,233,0,1
7,16,G - All Ages,4,3,0,32,191,234,0,0
6,13,R+ - Mild Nudity,24,2,0,42,100,235,0,0
