anime_id,name,genre,type,episodes,rating,mean_rating
29179,8027,8726,8768,1,4.2,3.0
29791,7895,8726,9868,1,4.58,6.0
28035,8255,8726,9868,1,4.16,1.5
32693,8254,8726,9868,1,4.56,4.0
23349,8251,8726,8780,1565,5.56,5.0
30162,7330,8726,8768,1,5.37,3.5
9868,7952,8726,8780,180,6.04,1.8
31874,7865,8726,8768,1,4.77,5.0
7071,7704,8726,9868,1,4.74,3.066666666666667
31624,7169,8726,9840,1,5.54,3.6666666666666665
29966,8230,8726,8768,1,4.28,3.0
30865,5792,8726,9868,1,6.32,3.25
5140,8221,8726,8780,20,7.05,4.666666666666667
16570,7871,8726,9868,1,5.48,0.3333333333333333
30167,8213,8726,8768,1,3.36,3.0
32430,8261,8726,8768,1,4.86,3.0
33177,8207,8726,9868,1,3.89,3.0
30163,8019,8726,8768,1,5.07,3.0
29409,8189,8726,9868,1,3.5,6.0
30405,7448,8726,8768,1,5.23,2.0
30105,7327,8726,9840,1,5.37,4.0
30157,8180,8726,8768,1,4.06,3.0
22099,6248,8726,8780,51,6.15,4.193548387096774
29919,8025,8726,9868,1,5.24,4.5
7174,6326,8726,9813,4,6.11,4.883720930232558
19557,7891,8726,9813,1,5.97,4.666666666666667
29928,8171,8726,9868,1,4.52,3.5
32227,8162,8726,9868,1,4.11,3.0
29926,8160,8726,9868,1,4.28,4.5
29814,8157,8726,9868,1,4.42,3.5
31695,7445,8726,8768,1,5.23,3.3333333333333335
29927,2539,8726,9868,1,7.22,5.833333333333333
2948,2158,8726,9868,1,7.33,5.75
1739,8557,8726,8780,80,6.27,2.0
29799,8621,8726,9868,1,4.26,7.0
30078,7612,8726,9868,1,4.99,6.0
25103,8610,8726,8768,1,4.33,1.0
6481,8608,8726,8780,26,5.88,1.5
3885,8607,8726,8780,26,6.61,3.75
8659,6829,8726,8768,1,5.81,2.909090909090909
21831,7605,8726,8768,1,5.01,2.5714285714285716
1030,1825,8726,9868,1,7.42,5.957575757575758
30082,8588,8726,8768,1,4.06,3.0
6857,7486,8726,9868,1,5.18,3.9375
9879,8576,8726,9885,1,4.91,2.3333333333333335
14069,8565,8726,9840,1,4.61,3.75
26157,8564,8726,9885,1,6.67,2.5
22469,6970,8726,8768,1,5.71,0.3333333333333333
12591,3199,8726,9885,3,7.04,3.12
14125,7592,8726,8768,1,5.04,0.3333333333333333
28897,7524,8726,8768,1,5.13,3.0
29559,8533,8726,9868,1,3.63,3.3333333333333335
2616,6540,8726,9813,1,6.0,4.252525252525253
29798,8529,8726,9868,1,4.15,7.0
8949,5073,8726,9885,1,6.54,4.066666666666666
8778,7489,8726,8768,1,5.17,3.25
29757,6726,8726,8768,1,5.87,4.0
6519,8627,8726,9868,1,6.1,0.5
4458,6864,8726,9813,1,5.79,4.780952380952381
15139,8684,8726,9868,1,4.79,1.5
21711,8673,8726,8768,1,3.46,1.6666666666666667
29929,8687,8726,9868,1,4.56,4.0
6730,8670,8726,8780,42,6.94,2.0
8753,8702,8726,8780,26,6.92,4.0
30081,7501,8726,8768,1,5.16,5.0
32388,8704,8726,9813,1,2.72,1.3333333333333333
29800,8706,8726,9868,1,4.02,4.5
4709,6908,8726,8780,26,5.76,3.1666666666666665
6522,8711,8726,9813,7,5.76,2.0
2947,2307,8726,9868,1,7.29,5.139784946236559
29107,7495,8726,8768,1,5.16,3.0
25149,8654,8726,9868,1,6.57,4.0
29411,7502,8726,9868,1,5.15,4.5
29867,8722,8726,9868,1,4.44,5.0
29856,8647,8726,8768,1,3.51,2.0
30085,8723,8726,8768,1,4.11,3.0
29457,8644,8726,8768,1,4.53,3.0
32167,8643,8726,8768,1,4.09,3.0
25173,8726,8726,9868,1,5.57,3.6666666666666665
6798,6432,8726,8780,12,6.06,4.0
29103,8631,8726,8768,1,3.53,2.0
29797,8515,8726,9868,1,4.92,7.0
18137,8679,8726,8780,26,6.1,3.5
5193,7008,8726,9840,1,5.68,3.2857142857142856
17209,6200,8726,9813,1,6.17,3.25
29925,8497,8726,9868,1,4.37,4.5
8503,4446,8726,8780,48,6.7,1.25
29796,8449,8726,9868,1,4.08,7.0
2612,3926,8726,8780,130,6.83,4.0
29053,8443,8726,8768,1,4.16,4.0
8645,7554,8726,8768,1,5.09,0.3333333333333333
5503,6216,8726,9868,1,6.15,1.5555555555555556
29795,8439,8726,9868,1,5.81,7.0
29177,8481,8726,8768,1,3.63,3.0
17613,8494,8726,8780,52,5.22,2.5
28205,5114,8726,9840,2,6.52,5.242990654205608
30158,8432,8726,9813,1,3.93,5.0
15653,7026,8726,8768,1,5.67,3.0
