Name,Score,Genres,Type,Episodes,Rating,Producers,Studios,Source,Duration,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format
Granbelm,6.75,"Fantasy, Magic, Mecha",TV,13,PG-13 - Teens 13 or older,"Mainichi Broadcasting System, Infinite, DMM pictures",Nexus,Original,24 min. per ep.,24,PG-13,Fantasy,Mainichi Broadcasting System,Nexus
Sounan Desu ka?,6.62,"Adventure, Comedy, Seinen",TV,12,PG-13 - Teens 13 or older,"Nihon Ad Systems, Kodansha, KlockWorx, flying DOG, Avex Pictures, Docomo Anime Store, GYAO!, BS NTV, Marui Group",Ezόla,Manga,13 min. per ep.,13,PG-13,Comedy,Kodansha,Ezόla
Gleipnir,7.02,"Action, Mystery, Supernatural, Ecchi, Seinen",TV,13,R - 17+ (violence & profanity),"Kodansha, bilibili, Good Smile Film",Pine Jam,Manga,23 min. per ep.,23,R,Action,Kodansha,Pine Jam
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,8.03,"Slice of Life, Fantasy",TV,14,PG-13 - Teens 13 or older,"WOWOW, Genco, MediaNet, KlockWorx, flying DOG, BS Fuji, Yomiuri TV Enterprise, Happinet, Tokyo Animator Gakuin, TO Books, JTB Next Creation",Ajia-Do,Novel,23 min. per ep.,23,PG-13,Fantasy,KlockWorx,Ajia-Do
Oni (TV),5.0,"Demons, Kids",TV,50,G - All Ages,Tonko House,dwarf,Original,24 min. per ep.,24,G,Kids,Tonko House,dwarf
Psycho-Pass 3,7.54,"Action, Sci-Fi, Police, Psychological",TV,8,R - 17+ (violence & profanity),"Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, MAGNET",Production I.G,Original,45 min. per ep.,45,R,Action,Dentsu,Production I.G
Totsukuni no Shoujo,7.5,"Supernatural, Shounen",OVA,1,G - All Ages,"Production I.G, Mag Garden",Wit Studio,Manga,10 min.,10,G,Shounen,Production I.G,Wit Studio
Phantasy Star Online 2: Episode Oracle,6.55,"Action, Sci-Fi, Space",TV,25,PG-13 - Teens 13 or older,"Frontier Works, Pony Canyon, Sega, Tokyo MX, Sammy, Studio Kai, ADK Emotions",Gonzo,Game,23 min. per ep.,23,PG-13,Action,Pony Canyon,Gonzo
Vampire in the Garden,5.0,Vampire,ONA,50,PG-13 - Teens 13 or older,Netflix,Wit Studio,Original,24 min. per ep.,24,PG-13,Vampire,Netflix,Wit Studio
Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,6.34,Fantasy,TV,12,PG-13 - Teens 13 or older,"Sotsu, MediaNet, Pony Canyon, AT-X, KlockWorx, BS Fuji, Tokyo MX, Bit Promotion, Happinet, Dream Shift, SB Creative",Project No.9,Novel,23 min. per ep.,23,PG-13,Fantasy,Sotsu,Project No.9
Sakuramiya Shimai no Netorare Kiroku,5.75,Hentai,OVA,2,Rx - Hentai,Media Bank,Queen Bee,Manga,20 min. per ep.,20,R+,Hentai,Media Bank,Queen Bee
Try Knights,4.69,"Sports, School, Josei",TV,12,PG-13 - Teens 13 or older,Nippon Television Network,"Gonzo, Seven",Manga,22 min. per ep.,22,PG-13,School,Nippon Television Network,Gonzo
Kuutei Dragons,7.05,"Adventure, Fantasy, Seinen",ONA,12,PG-13 - Teens 13 or older,"Kodansha, Fuji TV, Bandai, Nexon, BS Fuji, TOHO animation, Hakuhodo DY Media Partners, Fuji Creative, Bandai Spirits",Polygon Pictures,Manga,23 min. per ep.,23,PG-13,Fantasy,Fuji TV,Polygon Pictures
Given,8.32,"Drama, Music, Romance, Shounen Ai, Slice of Life",TV,11,PG-13 - Teens 13 or older,"Aniplex, Dentsu, Movic, Fuji TV, Shinshokan",Lerche,Manga,22 min. per ep.,22,PG-13,Drama,Aniplex,Lerche
Jibaku Shounen Hanako-kun,7.78,"Comedy, School, Shounen, Supernatural",TV,12,PG-13 - Teens 13 or older,"Square Enix, Studio Hibari, Pony Canyon, TBS, Half H.P Studio, Contents Seed",Lerche,Manga,24 min. per ep.,24,PG-13,Comedy,Pony Canyon,Lerche
Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,"Drama, Magic, Fantasy",TV,11,R - 17+ (violence & profanity),Egg Firm,Studio Bind,Novel,23 min. per ep.,23,R,Fantasy,Egg Firm,Studio Bind
No Guns Life,6.89,"Action, Sci-Fi, Drama, Seinen",TV,12,PG-13 - Teens 13 or older,"Sony Pictures Entertainment, TBS, AT-X, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Good Smile Film",Madhouse,Manga,24 min. per ep.,24,PG-13,Action,AT-X,Madhouse
